"relative_path","kind","bytes","sha256"
"assets/framework_overview_source_candidate_1.png","asset","1044176","d7dd176d4b28dc399322795e0496fe1d12d82751f50577453f0ee6e51c8a4aa9"
"code/make_diagnostic_figures.py","code","13042","4b54e9c09a7a0a84cd196ed683f0c66bc285acb333fdbbfcd7a2613439df6dae"
"code/make_figures.py","code","10352","12f82f03d5a63c7fd80c2df94c902fe791d1994e4e0290c8e3e56d1fbd058ec2"
"code/run_experiment_legacy_figures.py","code","17856","e03a7e6cdbef61fbddb3d10d332bb165144d73cbbd46ab604887cdd56612fe19"
"code/server_bookdash_stress_test.py","code","28007","8b86954d5c790b6abac65854974a7452be1e88725702d7d187ec7fe4b6d106be"
"data/bookdash_stress/bookdash_detector_oof_scores.csv","data","335790","c9d6ad51cb5489ad36883ac8c302822897ceef25bc7b127aa749ae02f526fd3d"
"data/bookdash_stress/bookdash_detector_summary.csv","data","412","0e7cdad99c6fe08285b442ffc29824d75ae9a1f744d4c8191710806da22b00e9"
"data/bookdash_stress/bookdash_pages_manifest.csv","data","70197","d6fc924f9b01e1d0cb2b0f491e2781455c9912db76810cb67b1e0075efe5b74a"
"data/bookdash_stress/bookdash_variant_manifest.csv","data","309535","0755f99355e8cd60c35469ca1debd652093a8098e138c9daee3f3d164a03f332"
"data/bookdash_stress/bookdash_variant_scores.csv","data","15173","b0d8a515156b2b0dd584ab606197532b7f9524efdbf6547d96ac141b00f74181"
"data/bookdash_stress/bookdash_variant_scores_public_regression_score.csv","data","332233","b1620ab4fa57e335bfac0e6d207276d33aa1955d7e38f78e015616e1a0211308"
"data/bookdash_stress/bookdash_variant_scores_public_screening_score.csv","data","333670","4a093bc32fe12af717dc22426babefbdce971786a8074aeab566ccc86e4e1b95"
"data/bookdash_stress/bookdash_zero_shot_pairs.csv","data","6277","4ae0aea6db0ae8cb12a7fefd8cac8968528ffbe132678b77ec8aff94a4b1d092"
"data/bookdash_stress/bookdash_zero_shot_pairs_public_regression_score.csv","data","135043","5ff69d31c91d392216585b24ec1baac36da407a4c21b8fdb9e58ba570603ec0a"
"data/bookdash_stress/bookdash_zero_shot_pairs_public_screening_score.csv","data","137744","ca1896ec411001f457051b157bd5f0d1be2d37c21c4da3194fdcaf6308db5a0f"
"data/bookdash_stress/bookdash_zero_shot_summary.csv","data","3297","644da3803656128839765b058ee1dd7852199075713f80bd83b5a05d5e6ccfe6"
"data/bookdash_stress/bookdash_zero_shot_summary_public_regression_score.csv","data","1762","bbf0880643bc7acf8c5ac9f001d065626133a0815450c21d81f652adc1d22757"
"data/bookdash_stress/bookdash_zero_shot_summary_public_screening_score.csv","data","1728","e606ed4dfc278c18e7ac38c3cc8fdf842485aab069da2e942ac08039d994d502"
"data/bookdash_stress/manifest.json","data","1675","e2fa318213cab2ec41c437c1e5aa777966b2a6fdfdff4443cb8d50c8154f421e"
"data/bookdash_stress/run.log","data","3789","b0b2ab302a62dc67b0276176482e8695b711a26e0f198f4298dd689f16d18d9a"
