block,method,low_threshold,high_threshold,balanced_accuracy,f1,accuracy,auc,average_precision
visual_handcrafted,RF,5.666666666666667,6.066666666666666,0.5693758829616657,0.526644395711114,0.5950207961972668,0.583946665524929,0.5497572152292912
visual_handcrafted,ExtraTrees,5.666666666666667,6.066666666666666,0.5607714428282196,0.5187045123560058,0.5810689245395128,0.5720605804772854,0.5443991603526669
layout64_visual_handcrafted,RF,5.666666666666667,6.066666666666666,0.5302855669281394,0.4705341354048251,0.5577314319667261,0.5557654589988519,0.5259585038325008
layout64_visual_handcrafted,ExtraTrees,5.666666666666667,6.066666666666666,0.5330640236163631,0.4792011088045621,0.5561473559120618,0.5457407650757786,0.5280673434783922
visual_handcrafted,Logistic,5.666666666666667,6.066666666666666,0.5261609591033326,0.500374004978484,0.527666072489602,0.5448581252357543,0.5212900930591123
visual_handcrafted,HGB,5.666666666666667,6.066666666666666,0.5268587621154148,0.4911601812439777,0.5479970291146762,0.5418281290000686,0.5105409697071657
layout64_visual_handcrafted,HGB,5.666666666666667,6.066666666666666,0.5285077755906682,0.48187722343449435,0.5503749257278668,0.5413234368862054,0.5049757864275933
layout64_clip512_visual_handcrafted,ExtraTrees,5.666666666666667,6.066666666666666,0.5196471832216938,0.45372816180583164,0.5568793820558526,0.5375707737681024,0.5097579435953079
clip512_visual_handcrafted,ExtraTrees,5.666666666666667,6.066666666666666,0.5278444743360429,0.45735935474851724,0.5651663695781343,0.536118159040622,0.5080113265437468
layout64_clip512_visual_handcrafted,RF,5.666666666666667,6.066666666666666,0.5222826216162325,0.45386333792796146,0.5604937611408201,0.5351106617087594,0.5024066934154207
layout64_visual_handcrafted,Logistic,5.666666666666667,6.066666666666666,0.5442864307473394,0.5194380786387713,0.5471919191919192,0.531009207558977,0.49830080657918147
clip512_visual_handcrafted,RF,5.666666666666667,6.066666666666666,0.5273340328527126,0.46798337044890187,0.56549376114082,0.5309753718701613,0.5090065699040451
clip512_visual_handcrafted,HGB,5.666666666666667,6.066666666666666,0.516850100775633,0.45909235577282087,0.5442335115864527,0.5281264824816916,0.5086713046721358
layout64_clip512,RF,5.666666666666667,6.066666666666666,0.511879465833041,0.43110534762280944,0.5518793820558526,0.5251042769046492,0.5030924643573307
clip512,ExtraTrees,5.666666666666667,6.066666666666666,0.5272592897496731,0.45920157582764476,0.5658591800356506,0.5190809420855711,0.4954732701463517
clip512,RF,5.666666666666667,6.066666666666666,0.5066014832494525,0.4421317223628713,0.542632798573975,0.5170588948836211,0.4957441387352267
layout64_clip512,ExtraTrees,5.666666666666667,6.066666666666666,0.5102010607093824,0.44379142203796285,0.5487908496732026,0.5104623842640809,0.49163000829320885
clip512_visual_handcrafted,Logistic,5.666666666666667,6.066666666666666,0.49876249452058197,0.4615121451233833,0.5127040998217469,0.5096305608939469,0.4892502250210436
layout64_clip512,HGB,5.666666666666667,6.066666666666666,0.5061345219314608,0.4533135753622858,0.536531788472965,0.5095986668400698,0.5007386945212792
layout64_clip512_visual_handcrafted,HGB,5.666666666666667,6.066666666666666,0.5052415979037657,0.4633195044954636,0.533787284610814,0.509010664841446,0.49715678934230034
clip512,HGB,5.666666666666667,6.066666666666666,0.5147397723177887,0.4571428020725842,0.543650623885918,0.5042732309501133,0.49648915482332134
layout64,Logistic,5.666666666666667,6.066666666666666,0.5068029681107558,0.48772961708314977,0.5089203802733214,0.5041752647407145,0.4830536245941207
layout64_clip512_visual_handcrafted,Logistic,5.666666666666667,6.066666666666666,0.5046751503175615,0.46905118252786016,0.5176636957813429,0.4940797170215639,0.48321475830039307
layout64,HGB,5.666666666666667,6.066666666666666,0.4988634369867652,0.44625088677092,0.5245989304812835,0.4880214921125218,0.48004347464154196
clip512,Logistic,5.666666666666667,6.066666666666666,0.48803133727122405,0.44844831890616615,0.5038419489007724,0.4807619665176189,0.4670303413188468
layout64,RF,5.666666666666667,6.066666666666666,0.4860259620624223,0.41902170084739093,0.514708853238265,0.4781591269088004,0.4817206107012765
layout64,ExtraTrees,5.666666666666667,6.066666666666666,0.49147639303249663,0.43366072477582884,0.5155686274509803,0.47075029072430497,0.4771190648055229
layout64_clip512,Logistic,5.666666666666667,6.066666666666666,0.4754749061066332,0.43534024582890646,0.49040463458110517,0.467994653140146,0.45999234910517356
