task,block,method,fold,n_train,n_test,low_threshold,high_threshold,balanced_accuracy,f1,accuracy,auc,average_precision
top_bottom_30_cv,layout64,Logistic,0,798,200,5.666666666666667,6.0,0.46375642705917935,0.46,0.46,0.4273112208892025,0.40679776084938135
top_bottom_30_cv,layout64,RF,0,798,200,5.666666666666667,6.0,0.4554390563564875,0.48372093023255813,0.445,0.4524145579191451,0.44325353545391516
top_bottom_30_cv,layout64,ExtraTrees,0,798,200,5.666666666666667,6.0,0.49208589575562056,0.5229357798165137,0.48,0.46541990119971766,0.4682091923298122
top_bottom_30_cv,layout64,HGB,0,798,200,5.666666666666667,6.0,0.4792821857042041,0.5,0.47,0.46501663474140537,0.4342078669283447
top_bottom_30_cv,layout64,Logistic,1,798,200,5.666666666666667,6.0,0.551731078904992,0.5898617511520737,0.555,0.5719605475040258,0.5940068695176226
top_bottom_30_cv,layout64,RF,1,798,200,5.666666666666667,6.0,0.4875201288244766,0.5233644859813084,0.49,0.5096618357487923,0.5804008530660499
top_bottom_30_cv,layout64,ExtraTrees,1,798,200,5.666666666666667,6.0,0.49295491143317227,0.5258215962441315,0.495,0.5044283413848631,0.582941960814009
top_bottom_30_cv,layout64,HGB,1,798,200,5.666666666666667,6.0,0.5479066022544283,0.5794392523364486,0.55,0.5507246376811594,0.5796890468392863
top_bottom_30_cv,layout64,Logistic,2,627,153,5.666666666666667,6.333333333333333,0.49619450317124736,0.34782608695652173,0.5098039215686274,0.47854122621564477,0.28381086469144634
top_bottom_30_cv,layout64,RF,2,627,153,5.666666666666667,6.333333333333333,0.48995771670190275,0.15873015873015872,0.6535947712418301,0.44175475687103594,0.2904346603427861
top_bottom_30_cv,layout64,ExtraTrees,2,627,153,5.666666666666667,6.333333333333333,0.4652219873150106,0.16666666666666666,0.6078431372549019,0.4419661733615222,0.2670619519002632
top_bottom_30_cv,layout64,HGB,2,627,153,5.666666666666667,6.333333333333333,0.4652219873150106,0.16666666666666666,0.6078431372549019,0.43308668076109935,0.2966376153569451
top_bottom_30_cv,layout64,Logistic,3,798,200,5.666666666666667,6.0,0.5416876701280371,0.5533980582524272,0.54,0.5453674765601371,0.5920289920145703
top_bottom_30_cv,layout64,RF,3,798,200,5.666666666666667,6.0,0.49490876096380687,0.48484848484848486,0.49,0.5051416473434822,0.5705891264236467
top_bottom_30_cv,layout64,ExtraTrees,3,798,200,5.666666666666667,6.0,0.5031253150519206,0.4712041884816754,0.495,0.4836677084383507,0.5512789766916335
top_bottom_30_cv,layout64,HGB,3,798,200,5.666666666666667,6.0,0.48301240044359317,0.48514851485148514,0.48,0.48477669119870953,0.5523442072279166
top_bottom_30_cv,layout64,Logistic,4,800,198,5.666666666666667,6.0,0.4806451612903226,0.48756218905472637,0.4797979797979798,0.4976958525345622,0.5386236358975831
top_bottom_30_cv,layout64,RF,4,800,198,5.666666666666667,6.0,0.5023041474654377,0.4444444444444444,0.494949494949495,0.4818228366615463,0.5239248782199843
top_bottom_30_cv,layout64,ExtraTrees,4,800,198,5.666666666666667,6.0,0.5039938556067589,0.4816753926701571,0.5,0.45826932923707114,0.5161032422918965
