page_id,book_slug,page_name,public_ui_score,original_score,degradation_type,score_drop,rank_correct
0,zibu-and-zizo,zibu-and-zizo_en_page1,5.784416477702187,5.874916572184419,contrast_loss,0.0905000944822314,True
1,zibu-and-zizo,zibu-and-zizo_en_page2,5.723853363567651,5.730833144368849,contrast_loss,0.00697978080119821,True
2,zibu-and-zizo,zibu-and-zizo_en_page3,5.651349017384726,5.723491874527581,contrast_loss,0.07214285714285484,True
3,a-beautiful-day,a-beautiful-day_en_page1,5.754513558201054,5.833317318594098,contrast_loss,0.07880376039304426,True
4,a-beautiful-day,a-beautiful-day_en_page2,5.746663170823885,5.789361583522299,contrast_loss,0.04269841269841468,True
5,a-beautiful-day,a-beautiful-day_en_page3,5.762977607709749,5.891292894935762,contrast_loss,0.1283152872260125,True
6,look-up,look-up_en_page1,5.754162414965987,5.784954270597126,contrast_loss,0.030791855631139065,True
7,look-up,look-up_en_page2,5.742348347419772,5.592594009826146,contrast_loss,-0.14975433759362566,False
8,look-up,look-up_en_page3,5.772915249433109,5.723374149659859,contrast_loss,-0.04954109977324972,False
0,zibu-and-zizo,zibu-and-zizo_en_page1,5.947909391534385,5.874916572184419,content_crop,-0.07299281934996582,False
1,zibu-and-zizo,zibu-and-zizo_en_page2,5.744976379440653,5.730833144368849,content_crop,-0.014143235071804483,False
2,zibu-and-zizo,zibu-and-zizo_en_page3,5.760893896447462,5.723491874527581,content_crop,-0.03740202191988118,False
3,a-beautiful-day,a-beautiful-day_en_page1,5.729742488662126,5.833317318594098,content_crop,0.10357482993197209,True
4,a-beautiful-day,a-beautiful-day_en_page2,5.794118953136812,5.789361583522299,content_crop,-0.004757369614512896,False
5,a-beautiful-day,a-beautiful-day_en_page3,5.8597507558579025,5.891292894935762,content_crop,0.03154213907785941,True
6,look-up,look-up_en_page1,5.7489630574452,5.784954270597126,content_crop,0.03599121315192555,True
7,look-up,look-up_en_page2,5.59042167422524,5.592594009826146,content_crop,0.002172335600906017,True
8,look-up,look-up_en_page3,5.745146730914588,5.723374149659859,content_crop,-0.02177258125472825,False
0,zibu-and-zizo,zibu-and-zizo_en_page1,5.913356764928189,5.874916572184419,occluding_prompt,-0.03844019274376986,False
1,zibu-and-zizo,zibu-and-zizo_en_page2,5.666660430839001,5.730833144368849,occluding_prompt,0.06417271352984777,True
2,zibu-and-zizo,zibu-and-zizo_en_page3,5.85628155706727,5.723491874527581,occluding_prompt,-0.1327896825396886,False
3,a-beautiful-day,a-beautiful-day_en_page1,5.852053004535152,5.833317318594098,occluding_prompt,-0.01873568594105457,False
4,a-beautiful-day,a-beautiful-day_en_page2,5.886216553287978,5.789361583522299,occluding_prompt,-0.09685496976567887,False
5,a-beautiful-day,a-beautiful-day_en_page3,5.944740740740753,5.891292894935762,occluding_prompt,-0.053447845804990735,False
6,look-up,look-up_en_page1,5.803036470143608,5.784954270597126,occluding_prompt,-0.01808219954648216,False
7,look-up,look-up_en_page2,5.5473066893424035,5.592594009826146,occluding_prompt,0.04528732048374273,True
8,look-up,look-up_en_page3,5.8035404383975795,5.723374149659859,occluding_prompt,-0.08016628873772014,False
0,zibu-and-zizo,zibu-and-zizo_en_page1,5.906089947089939,5.874916572184419,clutter_controls,-0.031173374905519857,False
1,zibu-and-zizo,zibu-and-zizo_en_page2,5.72788595993952,5.730833144368849,clutter_controls,0.0029471844293285088,True
2,zibu-and-zizo,zibu-and-zizo_en_page3,5.706593726379433,5.723491874527581,clutter_controls,0.016898148148148273,True
3,a-beautiful-day,a-beautiful-day_en_page1,5.789493150037792,5.833317318594098,clutter_controls,0.043824168556305665,True
4,a-beautiful-day,a-beautiful-day_en_page2,5.847607048374902,5.789361583522299,clutter_controls,-0.05824546485260296,False
5,a-beautiful-day,a-beautiful-day_en_page3,5.935579931972795,5.891292894935762,clutter_controls,-0.04428703703703274,False
6,look-up,look-up_en_page1,5.73402234504913,5.784954270597126,clutter_controls,0.05093192554799586,True
7,look-up,look-up_en_page2,5.59208777399848,5.592594009826146,clutter_controls,0.0005062358276664014,True
8,look-up,look-up_en_page3,5.753290249433099,5.723374149659859,clutter_controls,-0.029916099773239502,False
0,zibu-and-zizo,zibu-and-zizo_en_page1,5.799685185185176,5.874916572184419,tiny_text_band,0.07523138699924292,True
1,zibu-and-zizo,zibu-and-zizo_en_page2,5.698431972789109,5.730833144368849,tiny_text_band,0.032401171579739874,True
2,zibu-and-zizo,zibu-and-zizo_en_page3,5.780437074829927,5.723491874527581,tiny_text_band,-0.056945200302346066,False
3,a-beautiful-day,a-beautiful-day_en_page1,5.688187500000002,5.833317318594098,tiny_text_band,0.14512981859409546,True
4,a-beautiful-day,a-beautiful-day_en_page2,5.703671296296291,5.789361583522299,tiny_text_band,0.08569028722600791,True
5,a-beautiful-day,a-beautiful-day_en_page3,5.815159486016633,5.891292894935762,tiny_text_band,0.07613340891912923,True
6,look-up,look-up_en_page1,5.7452057350718055,5.784954270597126,tiny_text_band,0.03974853552532043,True
7,look-up,look-up_en_page2,5.687506755479966,5.592594009826146,tiny_text_band,-0.09491274565381946,False
8,look-up,look-up_en_page3,5.744115929705214,5.723374149659859,tiny_text_band,-0.020741780045354652,False
0,zibu-and-zizo,zibu-and-zizo_en_page1,5.962215325018903,5.874916572184419,overlap_text_block,-0.08729875283448418,False
1,zibu-and-zizo,zibu-and-zizo_en_page2,5.629499055177619,5.730833144368849,overlap_text_block,0.10133408919122999,True
2,zibu-and-zizo,zibu-and-zizo_en_page3,5.838900226757359,5.723491874527581,overlap_text_block,-0.11540835222977819,False
3,a-beautiful-day,a-beautiful-day_en_page1,5.9176763983371155,5.833317318594098,overlap_text_block,-0.0843590797430176,False
4,a-beautiful-day,a-beautiful-day_en_page2,5.952673091458806,5.789361583522299,overlap_text_block,-0.1633115079365064,False
5,a-beautiful-day,a-beautiful-day_en_page3,6.012952380952386,5.891292894935762,overlap_text_block,-0.12165948601662446,False
6,look-up,look-up_en_page1,5.79521702569917,5.784954270597126,overlap_text_block,-0.010262755102043997,False
7,look-up,look-up_en_page2,5.5241780990173766,5.592594009826146,overlap_text_block,0.06841591080876963,True
8,look-up,look-up_en_page3,5.830039493575208,5.723374149659859,overlap_text_block,-0.10666534391534821,False
