page_id,book_slug,page_name,public_regression_score,original_score,degradation_type,score_drop,rank_correct
0,zibu-and-zizo,zibu-and-zizo_en_page1,5.784416477702188,5.874916572184419,contrast_loss,0.09050009448223051,True
1,zibu-and-zizo,zibu-and-zizo_en_page2,5.723853363567651,5.730833144368849,contrast_loss,0.00697978080119821,True
2,zibu-and-zizo,zibu-and-zizo_en_page3,5.651349017384726,5.723491874527581,contrast_loss,0.07214285714285484,True
3,zibu-and-zizo,zibu-and-zizo_en_page4,5.76148119803477,5.947164871504153,contrast_loss,0.18568367346938341,True
4,zibu-and-zizo,zibu-and-zizo_en_page5,5.710067743764172,5.8503928571428485,contrast_loss,0.14032511337867692,True
5,zibu-and-zizo,zibu-and-zizo_en_page6,5.79297713529856,6.011710034013607,contrast_loss,0.21873289871504653,True
6,a-beautiful-day,a-beautiful-day_en_page1,5.754513558201054,5.833317318594098,contrast_loss,0.07880376039304426,True
7,a-beautiful-day,a-beautiful-day_en_page2,5.746663170823886,5.789361583522299,contrast_loss,0.04269841269841379,True
8,a-beautiful-day,a-beautiful-day_en_page3,5.76297760770975,5.891292894935762,contrast_loss,0.1283152872260116,True
9,a-beautiful-day,a-beautiful-day_en_page4,5.746810752078608,5.981585884353738,contrast_loss,0.23477513227512947,True
10,a-beautiful-day,a-beautiful-day_en_page5,5.780674981103552,5.878096938775511,contrast_loss,0.09742195767195927,True
11,a-beautiful-day,a-beautiful-day_en_page6,5.83506339758125,5.859168839758126,contrast_loss,0.024105442176876046,True
12,look-up,look-up_en_page1,5.754162414965987,5.784954270597125,contrast_loss,0.030791855631138176,True
13,look-up,look-up_en_page2,5.742348347419772,5.592594009826147,contrast_loss,-0.14975433759362478,False
14,look-up,look-up_en_page3,5.77291524943311,5.723374149659859,contrast_loss,-0.04954109977325061,False
15,look-up,look-up_en_page4,5.730516345427059,5.813874527588812,contrast_loss,0.08335818216175284,True
16,look-up,look-up_en_page5,5.705448885109603,5.814873015873015,contrast_loss,0.10942413076341229,True
17,look-up,look-up_en_page6,5.727603552532123,5.902661848072564,contrast_loss,0.17505829554044094,True
18,zanele-situ-my-story,zanele-situ-my-story_en_page1,5.745414399092969,5.768353363567651,contrast_loss,0.022938964474682244,True
19,zanele-situ-my-story,zanele-situ-my-story_en_page2,5.813807067271354,6.045806878306877,contrast_loss,0.23199981103552236,True
20,zanele-situ-my-story,zanele-situ-my-story_en_page3,5.75033153817082,5.825299508692366,contrast_loss,0.0749679705215458,True
21,zanele-situ-my-story,zanele-situ-my-story_en_page4,5.758198223733935,5.762056216931219,contrast_loss,0.003857993197284415,True
22,zanele-situ-my-story,zanele-situ-my-story_en_page5,5.79568924792139,5.691451625094478,contrast_loss,-0.10423762282691218,False
23,zanele-situ-my-story,zanele-situ-my-story_en_page6,5.750231670445953,5.756081349206354,contrast_loss,0.005849678760400323,True
24,how-do-you-sleep,how-do-you-sleep_en_page1,5.822078231292517,5.977774659863933,contrast_loss,0.1556964285714164,True
25,how-do-you-sleep,how-do-you-sleep_en_page2,5.732597316704458,5.774533824640964,contrast_loss,0.04193650793650594,True
26,how-do-you-sleep,how-do-you-sleep_en_page3,5.774356103552533,5.617782029478452,contrast_loss,-0.15657407407408108,False
27,how-do-you-sleep,how-do-you-sleep_en_page4,5.722050264550262,5.762409769463337,contrast_loss,0.040359504913075384,True
28,how-do-you-sleep,how-do-you-sleep_en_page5,5.756062736205588,5.951447278911558,contrast_loss,0.19538454270596972,True
29,how-do-you-sleep,how-do-you-sleep_en_page6,5.718711073318207,5.808336425479277,contrast_loss,0.08962535216106993,True
30,a-dancers-tale,a-dancers-tale_en_page1,5.713135487528345,5.751639292585719,contrast_loss,0.03850380505737405,True
