book_slug,book_title,page_name,view_path,source_url,local_path
zibu-and-zizo,Zibu and Zizo,zibu-and-zizo_en_page1,zibu-and-zizo/ebook/en_english/images/zibu-and-zizo_en_page1.jpg,https://bookdash.org/book-source-files/?view-file=zibu-and-zizo/ebook/en_english/images/zibu-and-zizo_en_page1.jpg,/root/autodl-tmp/story-layout-quality/experiment/results/bookdash_stress/original_pages/zibu-and-zizo_zibu-and-zizo_en_page1.jpg
zibu-and-zizo,Zibu and Zizo,zibu-and-zizo_en_page2,zibu-and-zizo/ebook/en_english/images/zibu-and-zizo_en_page2.jpg,https://bookdash.org/book-source-files/?view-file=zibu-and-zizo/ebook/en_english/images/zibu-and-zizo_en_page2.jpg,/root/autodl-tmp/story-layout-quality/experiment/results/bookdash_stress/original_pages/zibu-and-zizo_zibu-and-zizo_en_page2.jpg
zibu-and-zizo,Zibu and Zizo,zibu-and-zizo_en_page3,zibu-and-zizo/ebook/en_english/images/zibu-and-zizo_en_page3.jpg,https://bookdash.org/book-source-files/?view-file=zibu-and-zizo/ebook/en_english/images/zibu-and-zizo_en_page3.jpg,/root/autodl-tmp/story-layout-quality/experiment/results/bookdash_stress/original_pages/zibu-and-zizo_zibu-and-zizo_en_page3.jpg
zibu-and-zizo,Zibu and Zizo,zibu-and-zizo_en_page4,zibu-and-zizo/ebook/en_english/images/zibu-and-zizo_en_page4.jpg,https://bookdash.org/book-source-files/?view-file=zibu-and-zizo/ebook/en_english/images/zibu-and-zizo_en_page4.jpg,/root/autodl-tmp/story-layout-quality/experiment/results/bookdash_stress/original_pages/zibu-and-zizo_zibu-and-zizo_en_page4.jpg
zibu-and-zizo,Zibu and Zizo,zibu-and-zizo_en_page5,zibu-and-zizo/ebook/en_english/images/zibu-and-zizo_en_page5.jpg,https://bookdash.org/book-source-files/?view-file=zibu-and-zizo/ebook/en_english/images/zibu-and-zizo_en_page5.jpg,/root/autodl-tmp/story-layout-quality/experiment/results/bookdash_stress/original_pages/zibu-and-zizo_zibu-and-zizo_en_page5.jpg
zibu-and-zizo,Zibu and Zizo,zibu-and-zizo_en_page6,zibu-and-zizo/ebook/en_english/images/zibu-and-zizo_en_page6.jpg,https://bookdash.org/book-source-files/?view-file=zibu-and-zizo/ebook/en_english/images/zibu-and-zizo_en_page6.jpg,/root/autodl-tmp/story-layout-quality/experiment/results/bookdash_stress/original_pages/zibu-and-zizo_zibu-and-zizo_en_page6.jpg
a-beautiful-day,A Beautiful Day,a-beautiful-day_en_page1,a-beautiful-day/ebook/en_english/images/a-beautiful-day_en_page1.jpg,https://bookdash.org/book-source-files/?view-file=a-beautiful-day/ebook/en_english/images/a-beautiful-day_en_page1.jpg,/root/autodl-tmp/story-layout-quality/experiment/results/bookdash_stress/original_pages/a-beautiful-day_a-beautiful-day_en_page1.jpg
a-beautiful-day,A Beautiful Day,a-beautiful-day_en_page2,a-beautiful-day/ebook/en_english/images/a-beautiful-day_en_page2.jpg,https://bookdash.org/book-source-files/?view-file=a-beautiful-day/ebook/en_english/images/a-beautiful-day_en_page2.jpg,/root/autodl-tmp/story-layout-quality/experiment/results/bookdash_stress/original_pages/a-beautiful-day_a-beautiful-day_en_page2.jpg
a-beautiful-day,A Beautiful Day,a-beautiful-day_en_page3,a-beautiful-day/ebook/en_english/images/a-beautiful-day_en_page3.jpg,https://bookdash.org/book-source-files/?view-file=a-beautiful-day/ebook/en_english/images/a-beautiful-day_en_page3.jpg,/root/autodl-tmp/story-layout-quality/experiment/results/bookdash_stress/original_pages/a-beautiful-day_a-beautiful-day_en_page3.jpg
a-beautiful-day,A Beautiful Day,a-beautiful-day_en_page4,a-beautiful-day/ebook/en_english/images/a-beautiful-day_en_page4.jpg,https://bookdash.org/book-source-files/?view-file=a-beautiful-day/ebook/en_english/images/a-beautiful-day_en_page4.jpg,/root/autodl-tmp/story-layout-quality/experiment/results/bookdash_stress/original_pages/a-beautiful-day_a-beautiful-day_en_page4.jpg
