page_id,book_slug,book_title,page_name,variant,is_original,degradation_type,image_path,public_screening_score
0,zibu-and-zizo,Zibu and Zizo,zibu-and-zizo_en_page1,original,1,original,/root/autodl-tmp/story-layout-quality/experiment/results/bookdash_stress/variants/0000_zibu-and-zizo_zibu-and-zizo_en_page1_original.jpg,0.4612793539283002
0,zibu-and-zizo,Zibu and Zizo,zibu-and-zizo_en_page1,contrast_loss,0,contrast_loss,/root/autodl-tmp/story-layout-quality/experiment/results/bookdash_stress/variants/0000_zibu-and-zizo_zibu-and-zizo_en_page1_contrast_loss.jpg,0.49264335342377324
0,zibu-and-zizo,Zibu and Zizo,zibu-and-zizo_en_page1,content_crop,0,content_crop,/root/autodl-tmp/story-layout-quality/experiment/results/bookdash_stress/variants/0000_zibu-and-zizo_zibu-and-zizo_en_page1_content_crop.jpg,0.566888359689028
0,zibu-and-zizo,Zibu and Zizo,zibu-and-zizo_en_page1,occluding_prompt,0,occluding_prompt,/root/autodl-tmp/story-layout-quality/experiment/results/bookdash_stress/variants/0000_zibu-and-zizo_zibu-and-zizo_en_page1_occluding_prompt.jpg,0.4840487173112425
0,zibu-and-zizo,Zibu and Zizo,zibu-and-zizo_en_page1,clutter_controls,0,clutter_controls,/root/autodl-tmp/story-layout-quality/experiment/results/bookdash_stress/variants/0000_zibu-and-zizo_zibu-and-zizo_en_page1_clutter_controls.jpg,0.4727068134034837
0,zibu-and-zizo,Zibu and Zizo,zibu-and-zizo_en_page1,tiny_text_band,0,tiny_text_band,/root/autodl-tmp/story-layout-quality/experiment/results/bookdash_stress/variants/0000_zibu-and-zizo_zibu-and-zizo_en_page1_tiny_text_band.jpg,0.4774595769196823
0,zibu-and-zizo,Zibu and Zizo,zibu-and-zizo_en_page1,overlap_text_block,0,overlap_text_block,/root/autodl-tmp/story-layout-quality/experiment/results/bookdash_stress/variants/0000_zibu-and-zizo_zibu-and-zizo_en_page1_overlap_text_block.jpg,0.619771667978147
1,zibu-and-zizo,Zibu and Zizo,zibu-and-zizo_en_page2,original,1,original,/root/autodl-tmp/story-layout-quality/experiment/results/bookdash_stress/variants/0001_zibu-and-zizo_zibu-and-zizo_en_page2_original.jpg,0.4673170736538231
1,zibu-and-zizo,Zibu and Zizo,zibu-and-zizo_en_page2,contrast_loss,0,contrast_loss,/root/autodl-tmp/story-layout-quality/experiment/results/bookdash_stress/variants/0001_zibu-and-zizo_zibu-and-zizo_en_page2_contrast_loss.jpg,0.4326977798857189
1,zibu-and-zizo,Zibu and Zizo,zibu-and-zizo_en_page2,content_crop,0,content_crop,/root/autodl-tmp/story-layout-quality/experiment/results/bookdash_stress/variants/0001_zibu-and-zizo_zibu-and-zizo_en_page2_content_crop.jpg,0.4935753483644055
1,zibu-and-zizo,Zibu and Zizo,zibu-and-zizo_en_page2,occluding_prompt,0,occluding_prompt,/root/autodl-tmp/story-layout-quality/experiment/results/bookdash_stress/variants/0001_zibu-and-zizo_zibu-and-zizo_en_page2_occluding_prompt.jpg,0.49865166003657097
