page_id,book_slug,page_name,public_screening_score,original_score,degradation_type,score_drop,rank_correct
0,zibu-and-zizo,zibu-and-zizo_en_page1,0.49264335342377324,0.4612793539283002,contrast_loss,-0.03136399949547303,False
1,zibu-and-zizo,zibu-and-zizo_en_page2,0.4326977798857189,0.4673170736538231,contrast_loss,0.03461929376810419,True
2,zibu-and-zizo,zibu-and-zizo_en_page3,0.46934053697901146,0.49370639913865844,contrast_loss,0.024365862159646978,True
3,zibu-and-zizo,zibu-and-zizo_en_page4,0.49889684238719584,0.5474458599571473,contrast_loss,0.0485490175699515,True
4,zibu-and-zizo,zibu-and-zizo_en_page5,0.4108828201192946,0.5633517555877233,contrast_loss,0.1524689354684287,True
5,zibu-and-zizo,zibu-and-zizo_en_page6,0.4339994918277278,0.591034641198732,contrast_loss,0.15703514937100416,True
6,a-beautiful-day,a-beautiful-day_en_page1,0.45299336196251416,0.46566485127382756,contrast_loss,0.0126714893113134,True
7,a-beautiful-day,a-beautiful-day_en_page2,0.5300595837562582,0.5004337954652389,contrast_loss,-0.02962578829101925,False
8,a-beautiful-day,a-beautiful-day_en_page3,0.491783959313558,0.5490068030471081,contrast_loss,0.05722284373355013,True
9,a-beautiful-day,a-beautiful-day_en_page4,0.46939336486554656,0.599918913364529,contrast_loss,0.1305255484989824,True
10,a-beautiful-day,a-beautiful-day_en_page5,0.49737229843462055,0.5591750104254661,contrast_loss,0.06180271199084558,True
11,a-beautiful-day,a-beautiful-day_en_page6,0.4511017278876432,0.5239915155191318,contrast_loss,0.07288978763148862,True
12,look-up,look-up_en_page1,0.4700815285951471,0.4574818027807479,contrast_loss,-0.01259972581439922,False
13,look-up,look-up_en_page2,0.42940421306838555,0.38554101907690114,contrast_loss,-0.04386319399148442,False
14,look-up,look-up_en_page3,0.5032001742963967,0.4974012885291241,contrast_loss,-0.005798885767272666,False
15,look-up,look-up_en_page4,0.49216531833770943,0.49476730901312393,contrast_loss,0.0026019906754145006,True
16,look-up,look-up_en_page5,0.5035827101056183,0.522297741269619,contrast_loss,0.01871503116400075,True
17,look-up,look-up_en_page6,0.4558082177003462,0.5308998045141351,contrast_loss,0.07509158681378891,True
18,zanele-situ-my-story,zanele-situ-my-story_en_page1,0.4714981088017566,0.427723960331444,contrast_loss,-0.04377414847031258,False
19,zanele-situ-my-story,zanele-situ-my-story_en_page2,0.5090642466751462,0.5715870177156607,contrast_loss,0.06252277104051451,True
20,zanele-situ-my-story,zanele-situ-my-story_en_page3,0.4545403677278955,0.47556152885172603,contrast_loss,0.021021161123830512,True
21,zanele-situ-my-story,zanele-situ-my-story_en_page4,0.5016048766795009,0.412087513916459,contrast_loss,-0.08951736276304195,False
22,zanele-situ-my-story,zanele-situ-my-story_en_page5,0.4787983815742214,0.4430111796526335,contrast_loss,-0.03578720192158791,False
23,zanele-situ-my-story,zanele-situ-my-story_en_page6,0.46939337718174484,0.4527457421614176,contrast_loss,-0.016647635020327234,False
24,how-do-you-sleep,how-do-you-sleep_en_page1,0.47339650146667916,0.6006202806207653,contrast_loss,0.12722377915408617,True
25,how-do-you-sleep,how-do-you-sleep_en_page2,0.4596688050424129,0.46531811486836205,contrast_loss,0.005649309825949134,True
26,how-do-you-sleep,how-do-you-sleep_en_page3,0.48394619536421063,0.4711239175948272,contrast_loss,-0.012822277769383439,False
27,how-do-you-sleep,how-do-you-sleep_en_page4,0.430723016277218,0.4761564622265974,contrast_loss,0.045433445949379425,True
28,how-do-you-sleep,how-do-you-sleep_en_page5,0.46130404824749893,0.5684659906361957,contrast_loss,0.10716194238869681,True
29,how-do-you-sleep,how-do-you-sleep_en_page6,0.39474717837637235,0.4154065742512313,contrast_loss,0.020659395874858932,True
30,a-dancers-tale,a-dancers-tale_en_page1,0.45549894857721124,0.44477525554459035,contrast_loss,-0.010723693032620885,False
31,a-dancers-tale,a-dancers-tale_en_page2,0.4775033393538382,0.44512636360080804,contrast_loss,-0.03237697575303017,False
32,a-dancers-tale,a-dancers-tale_en_page3,0.4164905797416315,0.44884118837107956,contrast_loss,0.03235060862944805,True
33,a-dancers-tale,a-dancers-tale_en_page4,0.5020604042313687,0.4725302749185157,contrast_loss,-0.029530129312852982,False
34,a-dancers-tale,a-dancers-tale_en_page5,0.49859806601284096,0.46521795200877314,contrast_loss,-0.03338011400406782,False
35,a-dancers-tale,a-dancers-tale_en_page6,0.4985355570448659,0.48020446324681393,contrast_loss,-0.01833109379805198,False
36,amazing-daisy,amazing-daisy-pdf-ebook_Page_01,0.48999098029092825,0.5895346098417338,contrast_loss,0.09954362955080553,True
37,amazing-daisy,amazing-daisy-pdf-ebook_Page_02,0.46382741618369033,0.39119096769333905,contrast_loss,-0.07263644849035128,False
38,amazing-daisy,amazing-daisy-pdf-ebook_Page_03,0.49025401003090896,0.5029357336540582,contrast_loss,0.012681723623149233,True
39,amazing-daisy,amazing-daisy-pdf-ebook_Page_04,0.46572947562713485,0.4497208828231453,contrast_loss,-0.01600859280398953,False
40,amazing-daisy,amazing-daisy-pdf-ebook_Page_05,0.4989571813328404,0.473572208655835,contrast_loss,-0.025384972677005402,False
41,amazing-daisy,amazing-daisy-pdf-ebook_Page_06,0.4946775286287393,0.5077442901616016,contrast_loss,0.013066761532862292,True
42,grandpas-gold,grandpas-gold-pdf-ebook-20150919_Page_01,0.4898322691163888,0.4203313465025434,contrast_loss,-0.06950092261384538,False
43,grandpas-gold,grandpas-gold-pdf-ebook-20150919_Page_02,0.4876417272235066,0.43736270504832264,contrast_loss,-0.050279022175183985,False
44,grandpas-gold,grandpas-gold-pdf-ebook-20150919_Page_03,0.44761865553832314,0.547606704011676,contrast_loss,0.09998804847335285,True
