page_id,book_slug,book_title,page_name,variant,is_original,degradation_type,image_path,detector_score,detector_pred
0,zibu-and-zizo,Zibu and Zizo,zibu-and-zizo_en_page1,original,1,original,/root/autodl-tmp/story-layout-quality/experiment/results/bookdash_stress/variants/0000_zibu-and-zizo_zibu-and-zizo_en_page1_original.jpg,0.29181962380089455,0
0,zibu-and-zizo,Zibu and Zizo,zibu-and-zizo_en_page1,contrast_loss,0,contrast_loss,/root/autodl-tmp/story-layout-quality/experiment/results/bookdash_stress/variants/0000_zibu-and-zizo_zibu-and-zizo_en_page1_contrast_loss.jpg,0.0,0
0,zibu-and-zizo,Zibu and Zizo,zibu-and-zizo_en_page1,content_crop,0,content_crop,/root/autodl-tmp/story-layout-quality/experiment/results/bookdash_stress/variants/0000_zibu-and-zizo_zibu-and-zizo_en_page1_content_crop.jpg,0.12232783289283815,0
0,zibu-and-zizo,Zibu and Zizo,zibu-and-zizo_en_page1,occluding_prompt,0,occluding_prompt,/root/autodl-tmp/story-layout-quality/experiment/results/bookdash_stress/variants/0000_zibu-and-zizo_zibu-and-zizo_en_page1_occluding_prompt.jpg,0.0597034118488697,0
0,zibu-and-zizo,Zibu and Zizo,zibu-and-zizo_en_page1,clutter_controls,0,clutter_controls,/root/autodl-tmp/story-layout-quality/experiment/results/bookdash_stress/variants/0000_zibu-and-zizo_zibu-and-zizo_en_page1_clutter_controls.jpg,0.23981939633794847,0
0,zibu-and-zizo,Zibu and Zizo,zibu-and-zizo_en_page1,tiny_text_band,0,tiny_text_band,/root/autodl-tmp/story-layout-quality/experiment/results/bookdash_stress/variants/0000_zibu-and-zizo_zibu-and-zizo_en_page1_tiny_text_band.jpg,0.026178846732841463,0
0,zibu-and-zizo,Zibu and Zizo,zibu-and-zizo_en_page1,overlap_text_block,0,overlap_text_block,/root/autodl-tmp/story-layout-quality/experiment/results/bookdash_stress/variants/0000_zibu-and-zizo_zibu-and-zizo_en_page1_overlap_text_block.jpg,0.025938033694204107,0
1,zibu-and-zizo,Zibu and Zizo,zibu-and-zizo_en_page2,original,1,original,/root/autodl-tmp/story-layout-quality/experiment/results/bookdash_stress/variants/0001_zibu-and-zizo_zibu-and-zizo_en_page2_original.jpg,0.17879301160271074,0
1,zibu-and-zizo,Zibu and Zizo,zibu-and-zizo_en_page2,contrast_loss,0,contrast_loss,/root/autodl-tmp/story-layout-quality/experiment/results/bookdash_stress/variants/0001_zibu-and-zizo_zibu-and-zizo_en_page2_contrast_loss.jpg,0.02257333090885424,0
1,zibu-and-zizo,Zibu and Zizo,zibu-and-zizo_en_page2,content_crop,0,content_crop,/root/autodl-tmp/story-layout-quality/experiment/results/bookdash_stress/variants/0001_zibu-and-zizo_zibu-and-zizo_en_page2_content_crop.jpg,0.17477405516338992,0
1,zibu-and-zizo,Zibu and Zizo,zibu-and-zizo_en_page2,occluding_prompt,0,occluding_prompt,/root/autodl-tmp/story-layout-quality/experiment/results/bookdash_stress/variants/0001_zibu-and-zizo_zibu-and-zizo_en_page2_occluding_prompt.jpg,0.008612572225542937,0
1,zibu-and-zizo,Zibu and Zizo,zibu-and-zizo_en_page2,clutter_controls,0,clutter_controls,/root/autodl-tmp/story-layout-quality/experiment/results/bookdash_stress/variants/0001_zibu-and-zizo_zibu-and-zizo_en_page2_clutter_controls.jpg,0.1925977043034462,0
1,zibu-and-zizo,Zibu and Zizo,zibu-and-zizo_en_page2,tiny_text_band,0,tiny_text_band,/root/autodl-tmp/story-layout-quality/experiment/results/bookdash_stress/variants/0001_zibu-and-zizo_zibu-and-zizo_en_page2_tiny_text_band.jpg,0.0030628968253968254,0
1,zibu-and-zizo,Zibu and Zizo,zibu-and-zizo_en_page2,overlap_text_block,0,overlap_text_block,/root/autodl-tmp/story-layout-quality/experiment/results/bookdash_stress/variants/0001_zibu-and-zizo_zibu-and-zizo_en_page2_overlap_text_block.jpg,0.011517538248606591,0
