feature,importance_mean,importance_sd,spearman_quality,abs_spearman_quality
grid_edge_0_3,0.041964064080940354,0.00834050362498207,-0.11486858062387433,0.11486858062387433
grid_edge_1_1,0.027544628761164324,0.0019834576613027882,0.0494952598042397,0.0494952598042397
colorfulness,0.026134094777683504,0.0026410673166250413,0.04746845360727919,0.04746845360727919
horizontal_symmetry_error,0.02445150494983416,0.0015198656688590916,0.039321987865701846,0.039321987865701846
grid_edge_0_0,0.02402136185249913,0.0013459571311219508,-0.04979235631593998,0.04979235631593998
vertical_symmetry_error,0.023945868335698645,0.0010974339142397177,0.006735209609103396,0.006735209609103396
grid_edge_0_2,0.02288635578249789,0.0011894555426177024,-0.06149645451728209,0.06149645451728209
grid_edge_0_1,0.022799407289815523,0.0013202687425081388,-0.05053078353620529,0.05053078353620529
grid_edge_1_0,0.022774587230310547,0.003870622744418066,0.03822468142529637,0.03822468142529637
sat_std,0.02256207345496925,0.0032095282218098566,0.0732688496274848,0.0732688496274848
luma_entropy,0.01947219146841086,0.0016598348076397528,-0.0152801871267578,0.0152801871267578
grid_sat_0_3,0.018141804425642612,0.001202928239533091,0.07160500442079112,0.07160500442079112
grid_edge_3_2,0.01752712446638253,0.003833849891323908,-0.006216720039030067,0.006216720039030067
dark_ratio,0.017398093281713288,0.002845835059532772,-0.09585388253335644,0.09585388253335644
grid_luma_1_1,0.017365269503230328,0.0024957938728945397,0.09373451953169537,0.09373451953169537
grid_edge_1_3,0.017127590720793135,0.00236456080915362,0.005927999887328973,0.005927999887328973
grid_edge_1_2,0.0170956211381182,0.0009162865885440914,0.025214711718594393,0.025214711718594393
grid_edge_3_1,0.016861641160953903,0.0019465396192136183,-0.025561548402453397,0.025561548402453397
value_std,0.01668793861175038,0.0011289264989048822,-0.0035058401918408606,0.0035058401918408606
grid_luma_2_2,0.016225645771599455,0.003457301066846296,0.10091251136669464,0.10091251136669464
sat_high_ratio,0.01590638894209729,0.0032275282079062303,0.06497361385109506,0.06497361385109506
grid_sat_0_0,0.015846288073079556,0.0020606221967659553,0.08342423127461938,0.08342423127461938
grid_edge_3_0,0.015751796048122924,0.0009722463156908245,0.002539524490493912,0.002539524490493912
grid_sat_0_2,0.015207337251231957,0.0008459147108563819,0.07696284636479285,0.07696284636479285
grid_edge_2_2,0.015141743512377298,0.0017352193808375625,0.0027333961663799197,0.0027333961663799197
grid_edge_3_3,0.015032965032317736,0.001513917264827239,0.00010811844543902495,0.00010811844543902495
grid_luma_1_0,0.014908367855284854,0.0022154961015033166,0.06544746408208924,0.06544746408208924
edge_density,0.01480247650590909,0.0014562850379522562,-0.007890851293150244,0.007890851293150244
grid_luma_1_2,0.014467122204687873,0.001440768520735069,0.08409477974202201,0.08409477974202201
luma_std,0.014177678255622295,0.001263051895809779,0.046294303648470515,0.046294303648470515
grid_sat_0_1,0.014106831350989276,0.0006540593524759022,0.0679399292493735,0.0679399292493735
white_ratio,0.014099726790013025,0.0008882675072962346,0.0723469797114101,0.0723469797114101
grid_edge_2_3,0.013852011249634987,0.0009276080564102971,0.020395360858183022,0.020395360858183022
grid_edge_2_0,0.013791110881481211,0.000910732729794684,0.021578318471106354,0.021578318471106354
grid_edge_2_1,0.01370040861071838,0.001671639252533412,0.01723195610300824,0.01723195610300824
edge_strong,0.013586006464126152,0.0015956842740681378,-0.013933597217685008,0.013933597217685008
edge_mean,0.013330893988060385,0.0007261476320242974,-0.010974444374592445,0.010974444374592445
