Design quality,OOF prediction,grid_edge_0_3,grid_edge_1_1,colorfulness,horizontal_symmetry_error,grid_edge_0_0,vertical_symmetry_error,grid_edge_0_2,grid_edge_0_1
5.333333333333333,5.955179453262794,0.0612013,0.11542208,0.16579306,0.036491446,0.10633117,0.11912324,0.018181818,0.08116883
5.0,5.45503086419753,0.14707792,0.105844155,0.5489506,0.03867103,0.12711039,0.29332164,0.11785714,0.16688311
5.666666666666667,5.983441137566124,0.039772727,0.13133118,0.22421846,0.12707253,0.039123375,0.17971978,0.11753247,0.12435065
6.666666666666667,5.817282978595477,0.1310065,0.23701298,0.078798115,0.25021467,0.18019481,0.23210791,0.111363634,0.18116882
5.0,5.4211087962963,0.1275974,0.1025974,0.028888317,0.022161227,0.15860389,0.074651055,0.13555194,0.15487012
4.666666666666667,5.62912037037037,0.062987015,0.06363636,0.045746353,0.026130453,0.14756493,0.48041373,0.06688312,0.083603896
5.0,5.677428461199298,0.070292205,0.08198052,0.52753705,0.0072354786,0.0724026,0.24477533,0.06266234,0.071266234
5.333333333333333,5.921474647266312,0.06607143,0.060389612,0.036153223,0.027335119,0.09318182,0.41158906,0.050974026,0.11542208
6.0,5.901550865800868,0.0612013,0.06801948,0.16023989,0.014981191,0.05909091,0.146103,0.070616886,0.07646104
6.666666666666667,5.864752645502646,0.11168831,0.19399351,0.11420445,0.041476127,0.09431818,0.07745717,0.16347402,0.17159091
5.333333333333333,5.665407076719572,0.09318182,0.15357143,0.052208662,0.07014798,0.17029221,0.12516598,0.056655843,0.19025974
5.666666666666667,5.632386243386237,0.16298701,0.0,0.36732173,0.039178282,0.17938311,0.13947567,0.13766234,0.1974026
6.333333333333333,5.660911816578492,0.045941558,0.010064935,0.025437443,0.024337517,0.13116883,0.046255432,0.07483766,0.080681816
5.0,5.883018794091705,0.11298701,0.06704546,0.119404875,0.02776102,0.100487016,0.10284763,0.10454545,0.105844155
6.333333333333333,5.676613756613754,0.083441556,0.08766234,0.44525224,0.053347256,0.1827922,0.1635207,0.17532468,0.15827923
5.666666666666667,5.595083353375021,0.18068182,0.2099026,0.07188736,0.087319784,0.14188312,0.1628968,0.18474026,0.23636363
6.666666666666667,5.7743514109347345,0.09318182,0.16396104,0.07044985,0.01931305,0.10551948,0.04934741,0.17662337,0.15925324
